sort,no,rus,eng,sem,opt,n/v,СС_no,def_RU,def_EN,cx_RU,cx_EN,KK,Jena200,GLD110,status,lexnotes
14,14,ВОДА,WATER,1,,n,948,"Пресная вода, пригодная для питья. Отличать от специализированных терминов: ‘морская вода’, ‘загнившая вода’, ‘текущая вода’ (= струя, родник, ручей) и т. п. (GLD)","Sweet water, good for drinking. Should be kept apart from more specialized terms: ‘salt water’ (= ‘sea (water)’), ‘foul water’, ‘running / flowing water’ (= ‘stream’, ‘river’), etc. (GLD)",1. Человек не может жить без воды. (GLD) 2. Он пьет воду. (GLD) 3. Она набрала в сосуд воды. (GLD),1. People cannot live without water. (GLD) 2. He is drinking water. (GLD) 3. She dipped some water in her jug. (GLD),430,188,93,final,
15,15,МОРЕ,SEA,1,,n,1474,"Самое общее слово для крупной массы солёной воды. Избегать слов для его частей, например, ‘бухта’, ‘залив’ и т.д. Не использовать скорее картографических терминов, как, например, ‘океан’. (CoBL)","Most generic term for a large body of salt water. Avoid terms for subsets thereof, e.g. “bay”, “inlet” etc. Avoid more cartographical terminology, e.g. “ocean”. (CoBL)",1. Река спускается с гор и впадает в море. 2. Морская вода — солёная. ,1. The river flows from the mountains into the sea. 2. Water from the sea is salty.,415,136,0,final,
16,16,ПЕНА,FOAM,1,,n,1768,"Пузырьки воздуха, образующиеся на бурной воде. Если для мыльной пены существует другой термин, использовать слово для бурной воды. Отличать от пены на мясе, пены на лошади.","Air bubbles which form on turbulent water. If there is a separate term for soap foam, enter the word for turbulent water. Differentiate from foam formed when cooking meat, lather on a horse.",В бурной реке у камней пена.,There is foam near the rocks in the turbulent river.,438,0,0,final,
17,17,ОЗЕРО,LAKE,1,,n,624,"Закрытый пресноводный водоём, не соединённый с морем.","An enclosed body of fresh water from which the sea is excluded. (Concepticon, modified)","1. В озеро впадает река, а в болото — нет. 2. Озеро меньше моря.",1. A river flows into the lake but not into the swamp. 2. A lake is smaller than a sea.,414,89,0,final,
18,18,РЕКА,RIVER,1,,n,666,"Нейтральное слово для потока свежей воды, текущего по углублению над землёй, обычно впадающего в озеро или море. Избегать терминов для маленьких или больших рек. (CoBL)","Most generic term for a stream of fresh water flowing in a channel above the ground, often ending in a lake or in the sea. Avoid terms specifically for smaller, e.g. “stream”, or larger, e.g. Fr. “fleuve”, rivers. (CoBL)",1. Река течёт от гор к морю. 2. В нашей реке много рыбы.,1. The river flows from the mountains into the sea. 2. There is a lot of fish in our river.,412,125,0,final,
19,19,РУЧЕЙ,CREEK,1,,n,947,"Постоянный поток воды, через который легко перешагнуть. Отличать от спонтанно возникающих потоков вылитой жидкости.","A permanent stream of water easy to step over. Differentiate from spontaneously occuring streams of spilled liquid, where different.",Ручей спускается с горы и впадает в реку.,The creek descends from the mountain and flows into the river.,413,0,0,final,
20,20,РОДНИК,SPRING,1,,n,849,"Естественный источник воды, бьющий из-под земли.",A natural water source from under the earth.,Женщины ходят с кувшином к роднику.,Women come to the spring with pitchers.,417,0,0,final,
21,21,БОЛОТО,SWAMP,1,,n,1145,"Область постоянно стоячей воды, часто с ростом в ней деревьев. (Concepticon)","A permanently waterlogged area in which there is often associated tree growth, e.g. mangroves in hot climates. (Concepticon)","1. В озеро впадает река, а в болото — нет. 2. Ходить по болоту опасно.",1. Rivers flow into lakes but not into swamps. 2. Walking on swamps is dangerous.,416,0,0,final,
22,22,ЛЕС,FOREST,1,,n,420,"Самый общий термин для густого множества деревьев, покрывающего определённую местность. Отличать от специализированных терминов вроде «рощи». (CoBL) ","Most generic term for a dense collection of trees and woody shrubs covering a certain area. Try to find the most generic term. English distinguishes between very small ‘copse’, small to medium sized ‘woods’ and large ‘forest’. (CoBL)",1. В лесу живут медведи. 2. В лесу много деревьев.,1. Bears live in the forest. 2. There are many trees in the forest.,191,203,0,final,
23,23,КАМЕНЬ,STONE,1,,n,2125,"Камень среднего размера, который можно взять в руку (и использовать как орудие). Отличать от специализированных названий мелких камней (‘галька’, ‘щебень’ и т. п.) и крупных камней (‘глыба’, ‘скала’, ‘валун’ и т. п.). (GLD)","An average-size stone that can be taken into one’s hand (and used as a tool). It is preferable to separate this term from words for notably smaller stones (‘pebble’, ‘gravel’, etc.) and notably bigger stones (‘boulder’, ‘block’ etc.). (GLD)",1. Он взял в руку камень. 2. Он бросил камень в птицу. 3. Он забил в землю колышек камнем.,1. He took a stone in his hand.  2. He threw a stone at the bird.  3. He used a stone to beat a peg into the ground.,428,161,82,final,
24,24,КАМЕШЕК,PEBBLE,1,,n,961,"Маленький камень, гладкий от контакта с водой. (CoBL)",Small stone abraded by water. (CoBL) ,1. На берегу реки много мелких камешков. 2. Мне в обувь попал камешек.,1. There are many pebbles on the river shore. 2. A pebble got into my shoe.,429,0,0,final,
25,25,ГРАВИЙ,GRAVEL,1,,n,3028,"Мелкие каменные осколки, использующиеся при строительстве дорог. (ДАТЬ КАРТИНКУ)",A loose mass of little stone fragments used in road construction.,После дождей мы покрыли дорогу щебнем.,After rains we covered the road with gravel.,424,0,0,check,
26,26,НЕБО,SKY,1,,n,1732,"Самое общее слово для части земной атмосферы и пространства вне её, видимого с поверхности земли. В течение дня оно выглядит голубым, ночью — чёрным. Избегать религиозной терминологии (‘небеса’ и под.). (CoBL)","Most generic noun for the part of the earth's atmosphere and space outside it that is visible from earth's surface. During the day it is perceived as blue, and at night as black. Avoid religious terminology, e.g. “heaven(s)”, where different. (CoBL)",На голубом небе были белые облака. (CoBL),There were white clouds in the blue sky. (CoBL),418,145,0,final,
27,27,СОЛНЦЕ,SUN,1,,n,1343,"Самое общее слово для звезды в центре нашей солнечной системы, от которой Земля получает свет и тепло. Избегать терминов для ‘дневного времени’. (CoBL)","Most generic term for the particular star at the centre of our solar system, from which the Earth gets light and heat. Avoid terms specifically for “daytime”, where different.  (CoBL)","1. Ночью на небе видны звезды и луна, а днем солнце. (GLD) 2. Посмотри на солнце. (GLD)","1. At night we see the stars and the moon, during the day we see the sun. (GLD) 2. Look at the sun. (GLD)",419,164,83,final,
28,28,ЛУНА,MOON,1,,n,1313,"Самое общее слово для естественного спутника планеты Земля. Избегать слов для отдельных стадий луны, напр. ‘(полу)месяц’. Избегать слов, чьим основным значением является скорее единица времени ‘месяц’. (CoBL)","Most generic term for the satellite of the planet Earth. Avoid terms for specific stages of the moon, e.g. “crescent”. Avoid words that refer primarily to the time-unit of a ‘month’; the word entered should be the basic word for the celestial object. (CoBL)","1. Днем светит солнце, а ночью — луна. 2. На небе круглая луна.","1. The sun shines during the day, the moon shines at night.  2. There is a full moon in the sky.",420,102,55,final,
29,29,ЗВЕЗДА,STAR,1,,n,1430,"Самое общее слово для светящегося небесного тела, видимого в основном ночью. (CoBL)","Most generic noun for luminous celestial body, mostly visible at night. (CoBL)","1. Ночью на небе видны звезды и луна, а днем солнце. (GLD) 2. Вон яркая звезда. (GLD)","1. At night we see the stars and the moon, during the day we see the sun. (GLD) 2. There is a bright star over there. (GLD)",421,159,81,final,
30,30,МОЛНИЯ,LIGHTNING,1,,n,1654,"Вспышка света, вызванная атмосферным электрическим разрядом. (Concepticon)",The flash of light caused by the discharge of atmospheric electrical charge. (Concepticon),"1. Молния ударила в дерево. 2. Начался дождь, раздался гром и вдали сверкнула молния.","1. The lightning hit a tree. 2. It started raining, thunder was heard, and far away a lightning flashed.",441,0,0,final,
31,31,ГРОМ,THUNDER,1,,n,1150,"Звук, производимый при ударе молнии.",Sound produced during a lightning flash.,"1. Начался дождь, раздрался гром и вдали сверкнула молния. 2. Если слышен гром, то скоро будет дождь.","1. It started raining, thunder was heard, and far away a lightning flashed. 2. If there is thunder, it will soon be raining.",0,0,0,final,
32,32,РАДУГА,RAINBOW,1,,n,1733,"Разноцветная арка в небе, вызванная отражением света от капелек воды в воздухе.",A multicoloured arc in the sky caused by the refraction of light within droplets of rain in the air. ,После дождя на небе появляется радуга.,Rainbow appears in the sky after rain.,0,0,0,final,
33,33,СВЕТ,LIGHT,1,,n,630,"Искусственный свет, например, от костра или лампы. Отличать от ‘костра’, ‘факела’, ‘фонаря’ и прочих источников света.","Artificial light, e.g. from a bonfire or lamp. To be distinguished from ‘bonfire’, ‘torch’, ‘lantern’ and other light sources.","1. В этой комнате темно, мне нужен свет. 2. Мы увидели вдали свет, это был костёр.","1. It is dark in this room, I need light. 2. We saw a light far away, it was a bonfire.",444,0,0,final,
34,34,ТЕНЬ,SHADOW,1,,n,2275,"Тёмная область, вызванная перекрытием солнечного света телом человека. (CoBL)",Term for the area of darkness caused by the human body blocking out the light of the sun. (CoBL),1. Он видел на земле свою тень. (CoBL) 2. Вечером тени становятся длиннее.,1. He saw his shadow on the ground. (CoBL) 2. In the evening shadows become longer.,445,213,0,final,
35,35,РОСА,DEW,1,,n,1977,"Атмосферная влага, которая конденсируется после тёплого дня и ночью появляется в виде маленьких капель на прохладных поверхностях. (Concepticon)",Atmospheric moisture that condenses after a warm day and appears during the night on cool surfaces as small drops. (Concepticon),"Ночью не было дождя, но на траве роса.","There was no rain at night, but there is dew on the grass.",432,0,0,final,
36,36,ВЕТЕР,WIND,1,,n,960,"Общий термин: ‘ветер’ как движение воздуха. Следует отличать от конкретных наименований ветров (различающихся, напр., по сторонам света или по степени силы). Также отличать от наречий ‘с подветренной стороны’ и ‘с заветренной стороны’.  (GLD)","Generic term for ‘wind’ as movement of air; should be separated from more narrow designations of particular winds (characterized, e.g., by a certain direction or a certain level of intensity), as well as special adverbial forms such as ‘alee’, etc. (GLD)",1. Облака гонит ветер. (GLD) 2. Ветер дул ему в лицо.,1. Clouds are driven by the wind. 2. Wind blew in his face.,446,198,108,final,
37,37,ОБЛАКО,CLOUD,1,,n,1489,"Общий термин для белого облака в небе. Избегать слов для облаков на уровне земли (туман, мгла). Избегать терминов для конкретных типов облаков, вроде ‘тучи’ и специальных метеорологических терминов. (CoBL) ","Most generic term for a (white) cloud, in the sky. A cloud in the sky: i.e. avoid terms for cloud at ground level, if different, e.g. fog, mist. Avoid terms specific to particular types of cloud: raincloud, dark cloud, thunder cloud. Avoid technical, meteorological terms. (CoBL)","1. На небе белое облако. 2. Облако не дает дождя, а туча дает.","1. There is a white cloud in the sky. 2. Rain does not come from (white) clouds, only from rain clouds. ",437,22,13,final,
38,38,ТУМАН,FOG,1,,n,249,"Плотное облако, находящееся вблизи поверхности земли.",Most generic term for thick cloud lying close to the ground. (CoBL),1. Утром я не видел соседнее селение из-за тумана. 2. Туман часто выпадает по утрам.,1. In the morning I couldn’t see the neighbouring village because of the fog. 2. Fog often appears in the morning.,437,57,0,final,
39,39,ДОЖДЬ,RAIN,1,,n,658,"Влажные осадки (общий термин). Избегать слов для отдельных видов дождя (‘ливень’, ‘грибной дождь’). (CoBL)","Most generic term for liquid precipitation. Avoid terms for different types of precipitation, e.g. “drizzle”, or denoting duration, e.g. “shower”. (CoBL)","1. Дождь — это небесная вода. (GLD)  2. Посмотри на дождь, он пока еще не очень сильный. (GLD)","1. Rain is water from the sky. (GLD)  2. Look at the rain, it is not very heavy yet. (GLD)",433,121,66,final,
40,40,СНЕГ,SNOW,1,,n,784,"Общий термин для самого обычного в данном ареале вида замёрзших осадков (чаще всего, снежные хлопья или маленькие кристаллы). (CoBL)","Most generic substantive for the most common form of frozen precipitation, usually flakes or starlike crystals. (CoBL)",1. Зимой выпадает снег. 2. На земле лежал снег. (CoBL),1. Snow falls in winter. 2. There was snow on the ground. (CoBL),434,152,0,final,
41,41,ГРАД,HAIL,1,,n,609,Осадки в форме частиц льда.,Precipitation in the form of balls or irregular lumps of ice. (Concepticon),Град повредил крышу дома.,Hail damaged the roof of the house.,0,0,0,final,
42,42,ИДТИ (О ДОЖДЕ),RAIN (V),1,,v,1253,Падать с неба в виде мокрых осадков.,To fall from the clouds in drops of water. (CoBL),"1. На улице идёт дождь, оставайся дома. 2. Сегодня прошёл дождь, и земля мокрая.","1. It is raining outside, stay home. 2. It was raining today, and the ground is wet.",0,0,0,final,
43,43,ЛЁД,ICE,1,,n,617,Вода в твёрдом состоянии. (CoBL),Most generic substantive for water in the solid state. (CoBL),1. Зимой озеро покрыто льдом. 2. На солнце лёд тает.,1. In winter the lake is covered by ice. 2. Ice melts on the sun.,436,83,0,final,
44,44,ИНЕЙ,FROST,1,,n,2942,"Кристаллы льда на земле. траве, деревьях и других объектах.","Refers to white ice crystals, deposited on the ground or loosely attached to exposed objects such as wires or leaves. (Concepticon)","Снег ещё не выпал, но утром на траве иней.","It has not been snowing yet, but there is frost on the grass in the morning.",435,0,0,final,
45,45,МЁРЗНУТЬ,FREEZE,1,,v,0,Переходить из жидкого состояния в твёрдое под действием холода.,Pass from liquid to solid state under the impact of cold.,1. Зимой вода на озере замёрзла. 2. На холоде вода замерзает.,1. In winter water on the lake froze. 2. Water freezes in cold weather.,187,60,0,final,
46,46,ТАЯТЬ,MELT (INTR),1,,v,2334,Переходить из твёрдого состояния в жидкое (о воде).,To pass from solid to liquid state (of water).,"1. Наступила весна, и весь снег растаял. 2. На солнце лёд тает.","1. Spring came, and all the snow melted. 2. Ice melts under the sun.",54,0,0,final,
47,47,РАСТАПЛИВАТЬ,MELT (TR),1,,v,0,Превращать лёд и снег из твёрдого состояния в жидкое воздействием тепла.,To convert ice or snow from solid to liquid state through applying heat.,Весной солнце растопило снег и лёд.,In spring the sun melted the snow and ice.,55,0,0,final,
48,48,ОГОНЬ,FIRE,1,,n,221,"Состояние горения материала, в процессе которого выделяется тепло, пламя и дым. (CoBL)","The state of combustion in which inflammable material burns, producing heat, flames and often smoke. (CoBL)",1. Вдалеке я вижу огонь. 2. Он потушил огонь водой. 3. Огонь может обжечь.,1. I see a fire in the distance. 2. He put the fire out with water. 3. Fire can burn you.,440,50,27,final,
49,49,ДЫМ,SMOKE,1,,n,778,"Дым как результат горения дерева, травы, кизяка (но не после кремации). Следует отличать от ‘пара’, а также специальных видов дыма (напр., ‘(густой) черный дым’). (GLD)","Smoke as the result of combustion of wood, grass, dry dung (not after cremation). Should be distinguished from ‘vapour’ or specific kinds of smoke (e.g., ‘(thick) black smoke’).  (GLD)","1. Когда нет ветра, дым от костра поднимается прямо вверх. (GLD) 2. Дым ест мне глаза. (GLD)","1. With no wind, smoke from the bonfire rises straight up. (GLD) 2. Smoke gets in my eyes. (GLD)",442,149,79,final,
50,50,ЗОЛА,ASH,1,,n,646,"Зола как продукт сгорания дерева, травы, кизяка (но не после кремации, как в русском прах). Отличать от маркированных «табачного пепла», «вулканического пепла», а также «жара костра» (неостывшая зола, см. контекст 3). (GLD)","Ashes as the basic result of combustion of wood, grass, dry dung (not after cremation, as in Russian прах). Not to be confused with special words for “fly ash”, “tobacco ashes”, “volcanic ashes”, or “embers” (hot ashes/coals, cf. context 3). (GLD)",1. От костра осталась одна зола и угли. (GLD) 2. Ветер развеял золу. (GLD) 3. Он взял в горсть золу. (GLD),1. The campfire has left only ashes. (GLD) 2. The wind scattered the ashes. (GLD) 3. He scooped up a handful of ashes. (GLD),443,4,2,final,
51,51,ГОРЕТЬ,BURN (INTR),1,,v,1428,Быть поглощаемым огнём.,To be consumed by fire.,"1. Мой дом горит, принесите воду! 2. У моего брата сгорел дом, и он живёт у нас.","1. My house is burning, bring water! 2. My brother’s house burned down, and he lives with us now.",56,20,0,final,
52,52,ЖЕЧЬ,BURN (TR),1,,v,141,"Переходный глагол (не ‘гореть’). Отличать от ‘зажечь’, ‘поджечь’ и от маркированного ‘сжечь дотла’.  (GLD)",A transitive verb. To be distinguished from both inchoatives like ‘to set on fire’ and “emphatic perfectives” like ‘to burn down’. (GLD),1. Он сжёг все дрова. 2. Зачем ты жжёшь старую одежду? (GLD),1. He has burned all firewood. 2. Why are you burning old clothes? (GLD),57,0,12,final,
53,53,ЗАГОРАТЬСЯ,START BURNING,1,,v,0,Начать гореть от внешнего воздействия.,To start burning due to external forces.,Трава загорелась от пламени костра.,Grass started burning because of the bonfire.,58,0,0,final,
54,54,ЗАЖИГАТЬ,IGNITE,1,,v,737,Заставить гореть.,Cause to burn.,Я зажёг костёр спичками и бумагой.,I lighted the fire by a piece of paper.,59,0,0,final,
55,55,ГАСНУТЬ,BECOME EXTINGUISHED,1,,v,2209,Прекратить гореть.,Being stopped from burning. (Concepticon),"1. Мы налили воду, и костёр погас. 2. Под дождём огонь гаснет.","1. We poured water on the fire, and it was extinguished. 2. Fire becomes extinguished by rain.",60,0,0,final,
56,56,ТУШИТЬ,EXTINGUISH,1,,v,127,Прервать процесс горения путём внешнего воздействия.,Stop the process of burning by external force.,"1 (СВ). Мой дом загорелся, но сельчане быстро его потушили. 2 (НСВ). Не мешайте людям, они тушат пожар!","1 (PFV). My house caught a fire, but the villagers extinguished it quickly. 2 (IPFV). Leave them alone, they are extinguishing the fire!",61,0,0,final,
57,57,ОСТЫВАТЬ,BECOME COLD,1,,v,3068,"Переходить из горячего состояния в холодное (например, о еде).",To pass from hot state to cold (e.g. of food).,"1 (СВ). Еда уже остыла, придётся её греть. 2 (НСВ). В холодное время еда быстро остывает.","1 (СВ). The food has become cold, we need to warm it. 2 (НСВ). On cold days food becomes cold quickly.",62,0,0,final,
58,58,ДРОВА,FIREWOOD,1,,n,10,"Дерево, предназначенное для сжигания.",Wood intended to be burned. (Concepticon),Мы собрали дрова и разожгли костёр.,We collected firewood and built a bonfire.,349,0,0,final,
59,59,УГОЛЬ,CHARCOAL,1,,n,1188,"Сухое топливо, полученное путём нагревания древесины в отсутствие воздуха.",Dry fuel obtained by slowly heating wood in the absence of air.,"1. На земле были угли от потухшего костра. 2. Мы разожгли самовар углём, а не дровами.",1. There was charcoal from an extinguished bonfire on the ground. 2. We heated the samovar by charcoal instead of wood.,351,0,0,final,
60,60,УГОЛЁК,CHARCOAL PIECE,1,,n,0,Одна гранула древесного угля.,One granule of charcoal.,Из очага выпал уголёк.,A piece of charcoal fell out of the stove.,0,0,0,final,
61,61,ГОРЯЩИЙ УГОЛЬ,EMBERS,1,,n,67,Маленький горящий уголёк в гаснущем огне.,"A small, glowing piece of coal or wood in a dying fire. (Concepticon)",1. Эти угли ещё горячие. 2. Мы положили мясо на угли.,1. These embers are still hot. 2. We put meat on the embers.,0,0,0,final,
62,62,КИЗЯК,DUNG FUEL,1,,n,0,"Засохший помёт животных, используемый как топливо.",Dry animal dung used as fuel.,"Зимой мы топим печь кизяками, а не дровами.",In winter we heat the stove by DUNG FUEL instead of firewood.,350,0,0,final,
63,63,ЧЕЛОВЕК,PERSON,2,,n,683,"Базисный термин, обозначающий человека как вид, безотносительно к половой принадлежности. (GLD)",The basic term for a human being regardless of sex. (GLD),"1. В кустах что-то шевелится, я не понимаю, это человек или зверь. (GLD)  2. Человек умеет говорить, а животное — нет. (GLD) 3. Если на этот мост встанет ещё один человек, мост развалится.","1. The dog is a man’s (best) friend.  2. There is something moving in the bushes, I do not know if it is a man or a beast.",0,117,52,final,
64,64,МУЖЧИНА,MAN,2,,n,1554,"Взрослый человек мужского пола. Отличать от понятия ‘самец’ (‘male’), если для последнего существует отдельное слово, равно как и от обозначения человека вообще (‘person’ / ‘human being’). Контекст 1 является культурно обусловленным; здесь следует подставлять наименования типичных для данного социума мужского и женского занятий (охота, готовка и т. п.). Если в языке нет общего слова для ‘мужчины’, а имеется спецификация по возрастным группам, то соответствующие лексемы для возраста примерно 20—45 лет надо брать как синонимы. Отличать от специальных наименований холостяка, вдовца и т. п. Те же контексты, что и для №98 ‘женщина’. (GLD)","Adult human being of the male sex, antonymous to ‘woman’. Should be kept apart from ‘male’ (of any species) if the latter is distinct from ‘man’ (male human), as well as from ‘person / human being’ in general. Context No. 1 is culturally conditioned, in that X and Y should be understood as designations of typical male / female occupations for the given society (e.g., ‘hunting’, ‘cooking’, etc.). If, instead of a general term for ‘man’, one finds differentiation by age groups, the respective lexemes for the age of ca. 20–45 must be treated as synonymous. To be separated from specific designations of ‘bachelor’, ‘widower’ etc. Same contexts as in No.98 ‘woman’. (GLD)","1. Мужчины делают [X], а женщины делают [Y]. (GLD)  2. Женщины рожают детей, а мужчины — нет. (GLD)","1. Men are doing [X], women are making [Y]. (GLD)  2. Women bear children, men do not. (GLD)",110,99,51,final,
65,65,ЖЕНЩИНА,WOMAN,2,,n,962,"Самое общее слово для взрослого человека женского пола. Избегать терминов родства и отношения там, где они отличаются. Избегать специальных слов для молодых или пожилых женщин. Избегать маркированных вежливых форм, таких, как ‘госпожа’ и т.д. (CoBL)","Most generic term for an adult human female. Avoid relationship or kinship terms, where different. Avoid specific terms for younger or older women. Avoid honorific terms, e.g. “lady”, etc. (CoBL)","1. Мужчины делают [X], а женщины делают [Y]. (GLD) 2. Женщины рожают детей, а мужчины — нет. (GLD)","1. Men are doing [X], women are making [Y]. (GLD) 2. Women bear children, men do not. (GLD)",111,202,98,final,
66,66,САМЕЦ,MALE ANIMAL,2,opt,n,2263,"Животное мужского пола. Включать в список, только если есть общее слово для всех животных.",A male animal. Only include if a general word for all animals exists.,,,474,0,0,final,"Concepticon linking is imprecise: Concepticon has adjective, this is a noun."
