ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
avar-22_forest-1,,avar,22_forest,рохь,рохь,р <?> <?> <?>,,lexcauc,,,^р о х ь$,default
avar-23_stone-1,,avar,23_stone,гамaчӀ,гамaчӀ,<?> а <?> a <?> <?>,,lexcauc,,,^г а м a ч Ӏ$,default
avar-24_pebble-1,,avar,24_pebble,чӀимихx,чӀимихx,<?> <?> <?> <?> <?> <?> x,,lexcauc,,,^ч Ӏ и м и х x$,default
avar-25_gravel-1,,avar,25_gravel,чабaхx,чабaхx,<?> а <?> a <?> x,,lexcauc,,,^ч а б a х x$,default
avar-26_sky-1,,avar,26_sky,зоб,зоб,<?> <?> <?>,,lexcauc,,,^з о б$,default
avar-27_sun-1,,avar,27_sun,бакъ,бакъ,<?> а <?> <?>,,lexcauc,,,^б а к ъ$,default
avar-28_moon-1,,avar,28_moon,моцӀцӀ,моцӀцӀ,<?> <?> <?> <?> <?> <?>,,lexcauc,,,^м о ц Ӏ ц Ӏ$,default
avar-29_star-1,,avar,29_star,цӀцӀва,цӀцӀва,<?> <?> <?> <?> <?> а,,lexcauc,,,^ц Ӏ ц Ӏ в а$,default
avar-30_lightning-1,,avar,30_lightning,пири,пири,<?> <?> р <?>,,lexcauc,,,^п и р и$,default
avar-31_thunder-1,,avar,31_thunder,гъугъaди,гъугъaди,<?> <?> <?> <?> <?> a <?> <?>,,lexcauc,,,^г ъ у г ъ a д и$,default
avar-32_rainbow-1,,avar,32_rainbow,илбисбутӀ,илбисбутӀ,<?> <?> <?> <?> <?> <?> <?> т <?>,,lexcauc,,,^и л б и с б у т Ӏ$,default
avar-33_light-1,,avar,33_light,кaнлъи,кaнлъи,<?> a <?> <?> <?> <?>,,lexcauc,,,^к a н л ъ и$,default
avar-34_shadow-1,,avar,34_shadow,гъарaлди,гъарaлди,<?> <?> а р a <?> <?> <?>,,lexcauc,,,^г ъ а р a л д и$,default
avar-35_dew-1,,avar,35_dew,щуб,щуб,<?> <?> <?>,,lexcauc,,,^щ у б$,default
avar-36_wind-1,,avar,36_wind,гьури,гьури,<?> <?> <?> р <?>,,lexcauc,,,^г ь у р и$,default
avar-37_cloud-1,,avar,37_cloud,накӀкӀ,накӀкӀ,<?> а <?> <?> <?> <?>,,lexcauc,,,^н а к Ӏ к Ӏ$,default
avar-38_fog-1,,avar,38_fog,хьухь,хьухь,<?> <?> <?> <?> <?>,,lexcauc,,,^х ь у х ь$,default
avar-38_fog-2,,avar,38_fog,гӀодoбнакӀкӀ,гӀодoбнакӀкӀ,<?> <?> <?> <?> o <?> <?> а <?> <?> <?> <?>,,lexcauc,,,^г Ӏ о д o б н а к Ӏ к Ӏ$,default
avar-39_rain-1,,avar,39_rain,цӀцӀад,цӀцӀад,<?> <?> <?> <?> а <?>,,lexcauc,,,^ц Ӏ ц Ӏ а д$,default
avar-40_snow-1,,avar,40_snow,гӀазу,гӀазу,<?> <?> а <?> <?>,,lexcauc,,,^г Ӏ а з у$,default
avar-41_hail-1,,avar,41_hail,горo,горo,<?> <?> р o,,lexcauc,,,^г о р o$,default
avar-42_rainv-1,,avar,42_rainv,цӀцӀад базе,цӀцӀад базе,<?> <?> <?> <?> а <?> + <?> а <?> е,,lexcauc,,,^ц Ӏ ц Ӏ а д + б а з е$,default
avar-43_ice-1,,avar,43_ice,цӀцӀер,цӀцӀер,<?> <?> <?> <?> е р,,lexcauc,,,^ц Ӏ ц Ӏ е р$,default
avar-44_frost-1,,avar,44_frost,савy,савy,<?> а <?> y,,lexcauc,,,^с а в y$,default
avar-45_freeze-1,,avar,45_freeze,гӀyнизе,гӀyнизе,<?> <?> y <?> <?> <?> е,,lexcauc,,,^г Ӏ y н и з е$,default
avar-45_freeze-2,,avar,45_freeze,цӀцӀорoзе,цӀцӀорoзе,<?> <?> <?> <?> <?> р o <?> е,,lexcauc,,,^ц Ӏ ц Ӏ о р o з е$,default
avar-46_meltintr-1,,avar,46_meltintr,биъине,биъине,<?> <?> <?> <?> <?> е,,lexcauc,,,^б и ъ и н е$,default
avar-47_melttr-1,,avar,47_melttr,бaкизе,бaкизе,<?> a <?> <?> <?> е,,lexcauc,,,^б a к и з е$,default
avar-48_fire-1,,avar,48_fire,цӀа,цӀа,<?> <?> а,,lexcauc,,,^ц Ӏ а$,default
avar-49_smoke-1,,avar,49_smoke,кӀкӀуй,кӀкӀуй,<?> <?> <?> <?> <?> <?>,,lexcauc,,,^к Ӏ к Ӏ у й$,default
avar-50_ash-1,,avar,50_ash,рохъо,рохъо,р <?> <?> <?> <?>,,lexcauc,,,^р о х ъ о$,default
avar-51_burnintr-1,,avar,51_burnintr,бyхӀизе,бyхӀизе,<?> y <?> <?> <?> <?> е,,lexcauc,,,^б y х Ӏ и з е$,default
avar-52_burntr-1,,avar,52_burntr,бyхӀизе,бyхӀизе,<?> y <?> <?> <?> <?> е,,lexcauc,,,^б y х Ӏ и з е$,default
avar-53_startburning-1,,avar,53_startburning,лaгьизе,лaгьизе,<?> a <?> <?> <?> <?> е,,lexcauc,,,^л a г ь и з е$,default
avar-54_ignite-1,,avar,54_ignite,(цӀа) бaкизе,бaкизе,<?> a <?> <?> <?> е,,lexcauc,,,^б a к и з е$,default
avar-55_becomeextinguished-1,,avar,55_becomeextinguished,ссвине,ссвине,<?> <?> <?> <?> е,,lexcauc,,,^сс в и н е$,default
avar-56_extinguish-1,,avar,56_extinguish,ссвинабизе,ссвинабизе,<?> <?> <?> <?> а <?> <?> <?> е,,lexcauc,,,^сс в и н а б и з е$,default
avar-57_becomecold-1,,avar,57_becomecold,цӀцӀорoзе,цӀцӀорoзе,<?> <?> <?> <?> <?> р o <?> е,,lexcauc,,,^ц Ӏ ц Ӏ о р o з е$,default
avar-58_firewood-1,,avar,58_firewood,цӀул,цӀул,<?> <?> <?> <?>,,lexcauc,,,^ц Ӏ у л$,default
avar-59_charcoal-1,,avar,59_charcoal,тӀурччи,тӀурччи,т <?> <?> р <?> <?>,,lexcauc,,,^т Ӏ у р чч и$,default
avar-62_dungfuel-1,,avar,62_dungfuel,рак,рак,р а <?>,,lexcauc,,,^р а к$,default
avar-63_person-1,,avar,63_person,гӀадaм,гӀадaм,<?> <?> а <?> a <?>,,lexcauc,,,^г Ӏ а д a м$,default
avar-63_person-2,,avar,63_person,инсан,инсан,<?> <?> <?> а <?>,,lexcauc,,,^и н с а н$,default
avar-64_man-1,,avar,64_man,чи,чи,<?> <?>,,lexcauc,,,^ч и$,default
avar-65_woman-1,,avar,65_woman,чӀчӀужy,чӀчӀужy,<?> <?> <?> <?> <?> <?> y,,lexcauc,,,^ч Ӏ ч Ӏ у ж y$,default
avar-68_boy-1,,avar,68_boy,вас,вас,<?> а <?>,,lexcauc,,,^в а с$,default
avar-69_girl-1,,avar,69_girl,яс,яс,<?> <?>,,lexcauc,,,^я с$,default
avar-70_child-1,,avar,70_child,лъимер,лъимер,<?> <?> <?> <?> е р,,lexcauc,,,^л ъ и м е р$,default
avar-71_infant-1,,avar,71_infant,#,#,_,,lexcauc,,,^#$,default
avar-72_husband-1,,avar,72_husband,рос,рос,р <?> <?>,,lexcauc,,,^р о с$,default
avar-73_wife-1,,avar,73_wife,лълъади,лълъади,<?> <?> <?> <?> а <?> <?>,,lexcauc,,,^л ъ л ъ а д и$,default
avar-74_bride-1,,avar,74_bride,бахӀарай,бахӀарай,<?> а <?> <?> а р а <?>,,lexcauc,,,^б а х Ӏ а р а й$,default
avar-75_bridegroom-1,,avar,75_bridegroom,бахӀарав,бахӀарав,<?> а <?> <?> а р а <?>,,lexcauc,,,^б а х Ӏ а р а в$,default
avar-76_marryasman-1,,avar,76_marryasman,лълъaди ячине,лълъaди ячине,<?> <?> <?> <?> a <?> <?> + <?> <?> <?> <?> е,,lexcauc,,,^л ъ л ъ a д и + я ч и н е$,default
avar-77_marryasman-1,,avar,77_marryasman,росасе ине,росасе ине,р <?> <?> а <?> е + <?> <?> е,,lexcauc,,,^р о с а с е + и н е$,default
avar-78_wedding-1,,avar,78_wedding,бeртин,бeртин,<?> e р т <?> <?>,,lexcauc,,,^б e р т и н$,default
avar-79_father-1,,avar,79_father,эмен,эмен,<?> <?> е <?>,,lexcauc,,,^э м е н$,default
avar-80_mother-1,,avar,80_mother,эбел,эбел,<?> <?> е <?>,,lexcauc,,,^э б е л$,default
avar-81_son-1,,avar,81_son,вас,вас,<?> а <?>,,lexcauc,,,^в а с$,default
avar-82_daughter-1,,avar,82_daughter,яс,яс,<?> <?>,,lexcauc,,,^я с$,default
avar-83_brother-1,,avar,83_brother,вацц,вацц,<?> а <?>,,lexcauc,,,^в а цц$,default
avar-84_sister-1,,avar,84_sister,яцц,яцц,<?> <?>,,lexcauc,,,^я цц$,default
avar-85_twins-1,,avar,85_twins,кӀигьарурал,кӀигьарурал,<?> <?> <?> <?> <?> а р <?> р а <?>,,lexcauc,,,^к Ӏ и г ь а р у р а л$,default
avar-85_twins-2,,avar,85_twins,кӀиндич(-ал),кӀиндич,<?> <?> <?> <?> <?> <?> <?>,,lexcauc,,,^к Ӏ и н д и ч$,default
avar-86_grandfatherfatheroffather-1,,avar,86_grandfatherfatheroffather,кӀyдада,кӀyдада,<?> <?> y <?> а <?> а,,lexcauc,,,^к Ӏ y д а д а$,default
avar-87_grandfatherfatherofmother-1,,avar,87_grandfatherfatherofmother,кӀyдада,кӀyдада,<?> <?> y <?> а <?> а,,lexcauc,,,^к Ӏ y д а д а$,default
avar-88_grandmothermotheroffather-1,,avar,88_grandmothermotheroffather,кӀодо,кӀодо,<?> <?> <?> <?> <?>,,lexcauc,,,^к Ӏ о д о$,default
avar-89_grandmothermotherofmother-1,,avar,89_grandmothermotherofmother,кӀодо,кӀодо,<?> <?> <?> <?> <?>,,lexcauc,,,^к Ӏ о д о$,default
avar-90_grandsonsonofson-1,,avar,90_grandsonsonofson,васасул вас,васасул вас,<?> а <?> а <?> <?> <?> + <?> а <?>,,lexcauc,,,^в а с а с у л + в а с$,default
avar-91_grandsonsonofdaughter-1,,avar,91_grandsonsonofdaughter,ясалъул вас,ясалъул вас,<?> <?> а <?> <?> <?> <?> + <?> а <?>,,lexcauc,,,^я с а л ъ у л + в а с$,default
avar-92_granddaughterdaughterofson-1,,avar,92_granddaughterdaughterofson,васасул яс,васасул яс,<?> а <?> а <?> <?> <?> + <?> <?>,,lexcauc,,,^в а с а с у л + я с$,default
avar-93_granddaughterdaughterofdaughter-1,,avar,93_granddaughterdaughterofdaughter,ясалъул яс,ясалъул яс,<?> <?> а <?> <?> <?> <?> + <?> <?>,,lexcauc,,,^я с а л ъ у л + я с$,default
avar-94_unclebrotheroffather-1,,avar,94_unclebrotheroffather,имгӀал,имгӀал,<?> <?> <?> <?> а <?>,,lexcauc,,,^и м г Ӏ а л$,default
avar-95_unclebrotherofmother-1,,avar,95_unclebrotherofmother,эбелалъул вацц,эбелалъул вацц,<?> <?> е <?> а <?> <?> <?> <?> + <?> а <?>,,lexcauc,,,^э б е л а л ъ у л + в а цц$,default
avar-95_unclebrotherofmother-2,,avar,95_unclebrotherofmother,имгӀал,имгӀал,<?> <?> <?> <?> а <?>,,lexcauc,,,^и м г Ӏ а л$,default
avar-96_auntsisteroffather-1,,avar,96_auntsisteroffather,ункъaчо,ункъaчо,<?> <?> <?> <?> a <?> <?>,,lexcauc,,,^у н к ъ a ч о$,default
avar-97_auntsisterofmother-1,,avar,97_auntsisterofmother,ункъaчо,ункъaчо,<?> <?> <?> <?> a <?> <?>,,lexcauc,,,^у н к ъ a ч о$,default
avar-98_nephewsonofbrother-1,,avar,98_nephewsonofbrother,ваццасул вас,ваццасул вас,<?> а <?> а <?> <?> <?> + <?> а <?>,,lexcauc,,,^в а цц а с у л + в а с$,default
avar-99_nephewsonofsister-1,,avar,99_nephewsonofsister,яццалъул вас,яццалъул вас,<?> <?> а <?> <?> <?> <?> + <?> а <?>,,lexcauc,,,^я цц а л ъ у л + в а с$,default
avar-100_niecedaughterofbrother-1,,avar,100_niecedaughterofbrother,ваццасул яс,ваццасул яс,<?> а <?> а <?> <?> <?> + <?> <?>,,lexcauc,,,^в а цц а с у л + я с$,default
avar-101_niecedaughterofsister-1,,avar,101_niecedaughterofsister,яццалъул яс,яццалъул яс,<?> <?> а <?> <?> <?> <?> + <?> <?>,,lexcauc,,,^я цц а л ъ у л + я с$,default
avar-102_cousinmale-1,,avar,102_cousinmale,ваццгӀал,ваццгӀал,<?> а <?> <?> <?> а <?>,,lexcauc,,,^в а цц г Ӏ а л$,default
avar-103_cousinfemale-1,,avar,103_cousinfemale,яццгӀал,яццгӀал,<?> <?> <?> <?> а <?>,,lexcauc,,,^я цц г Ӏ а л$,default
avar-104_fatherinlawfatherofwife-1,,avar,104_fatherinlawfatherofwife,вакьад,вакьад,<?> а <?> <?> а <?>,,lexcauc,,,^в а к ь а д$,default
avar-105_fatherinlawfatherofhusband-1,,avar,105_fatherinlawfatherofhusband,вакьад,вакьад,<?> а <?> <?> а <?>,,lexcauc,,,^в а к ь а д$,default
avar-106_motherinlawmotherofwife-1,,avar,106_motherinlawmotherofwife,якьaд,якьaд,<?> <?> <?> a <?>,,lexcauc,,,^я к ь a д$,default
avar-107_motherinlawmotherofhusband-1,,avar,107_motherinlawmotherofhusband,якьaд,якьaд,<?> <?> <?> a <?>,,lexcauc,,,^я к ь a д$,default
avar-108_soninlaw-1,,avar,108_soninlaw,дурц,дурц,<?> <?> р <?>,,lexcauc,,,^д у р ц$,default
avar-109_daughterinlawofaman-1,,avar,109_daughterinlawofaman,нус,нус,<?> <?> <?>,,lexcauc,,,^н у с$,default
avar-110_daughterinlawofawoman-1,,avar,110_daughterinlawofawoman,нус,нус,<?> <?> <?>,,lexcauc,,,^н у с$,default
avar-111_stepfather-1,,avar,111_stepfather,бесдал эмeн,бесдал эмeн,<?> е <?> <?> а <?> + <?> <?> e <?>,,lexcauc,,,^б е с д а л + э м e н$,default
avar-112_stepmother-1,,avar,112_stepmother,бeсдал эбел,бeсдал эбел,<?> e <?> <?> а <?> + <?> <?> е <?>,,lexcauc,,,^б e с д а л + э б е л$,default
avar-113_stepson-1,,avar,113_stepson,бeсдал вас,бeсдал вас,<?> e <?> <?> а <?> + <?> а <?>,,lexcauc,,,^б e с д а л + в а с$,default
avar-114_stepdaughter-1,,avar,114_stepdaughter,бeсдал яс,бeсдал яс,<?> e <?> <?> а <?> + <?> <?>,,lexcauc,,,^б e с д а л + я с$,default
avar-115_orphan-1,,avar,115_orphan,бeсдалав,бeсдалав,<?> e <?> <?> а <?> а <?>,,lexcauc,,,^б e с д а л а в$,default
avar-115_orphan-2,,avar,115_orphan,бeсдалай,бeсдалай,<?> e <?> <?> а <?> а <?>,,lexcauc,,,^б e с д а л а й$,default
avar-116_widow-1,,avar,116_widow,къорoлай,къорoлай,<?> <?> <?> р o <?> а <?>,,lexcauc,,,^к ъ о р o л а й$,default
avar-117_widower-1,,avar,117_widower,къорoлав,къорoлав,<?> <?> <?> р o <?> а <?>,,lexcauc,,,^к ъ о р o л а в$,default
avar-118_family-1,,avar,118_family,хъизан,хъизан,<?> <?> <?> <?> а <?>,,lexcauc,,,^х ъ и з а н$,default
avar-119_clan-1,,avar,119_clan,тухум,тухум,т <?> <?> <?> <?>,,lexcauc,,,^т у х у м$,default
avar-122_this-1,,avar,122_this,гьаб,гьаб,<?> <?> а <?>,,lexcauc,,,^г ь а б$,default
avar-123_thatmedial-1,,avar,123_thatmedial,гьеб,гьеб,<?> <?> е <?>,,lexcauc,,,^г ь е б$,default
avar-124_thatdistalhorizontal-1,,avar,124_thatdistalhorizontal,доб,доб,<?> <?> <?>,,lexcauc,,,^д о б$,default
avar-124_thatdistalhorizontal-2,,avar,124_thatdistalhorizontal,гьадаб,гьадаб,<?> <?> а <?> а <?>,,lexcauc,,,^г ь а д а б$,default
avar-129_wildanimal-1,,avar,129_wildanimal,жанaвар,жанaвар,<?> а <?> a <?> а р,,lexcauc,,,^ж а н a в а р$,default
avar-130_cub-1,,avar,130_cub,тӀинчӀ,тӀинчӀ,т <?> <?> <?> <?> <?>,,lexcauc,,,^т Ӏ и н ч Ӏ$,default
avar-131_livestock-1,,avar,131_livestock,боцӀцӀи,боцӀцӀи,<?> <?> <?> <?> <?> <?> <?>,,lexcauc,,,^б о ц Ӏ ц Ӏ и$,default
avar-132_pasturesummer-1,,avar,132_pasturesummer,гӀалaх,гӀалaх,<?> <?> а <?> a <?>,,lexcauc,,,^г Ӏ а л a х$,default
avar-133_herdsmanofcows-1,,avar,133_herdsmanofcows,гӀачивехь,гӀачивехь,<?> <?> а <?> <?> <?> е <?> <?>,,lexcauc,,,^г Ӏ а ч и в е х ь$,default
avar-134_shepherd-1,,avar,134_shepherd,вехь,вехь,<?> е <?> <?>,,lexcauc,,,^в е х ь$,default
avar-135_cattleshed-1,,avar,135_cattleshed,бокь,бокь,<?> <?> <?> <?>,,lexcauc,,,^б о к ь$,default
avar-136_sheepshed-1,,avar,136_sheepshed,бокь,бокь,<?> <?> <?> <?>,,lexcauc,,,^б о к ь$,default
avar-138_hayloft-1,,avar,138_hayloft,гьор,гьор,<?> <?> <?> р,,lexcauc,,,^г ь о р$,default
avar-139_threshingfloor-1,,avar,139_threshingfloor,гьoцӀцӀо,гьoцӀцӀо,<?> <?> o <?> <?> <?> <?> <?>,,lexcauc,,,^г ь o ц Ӏ ц Ӏ о$,default
avar-140_sheaf-1,,avar,140_sheaf,гул,гул,<?> <?> <?>,,lexcauc,,,^г у л$,default
avar-141_stack-1,,avar,141_stack,гӀарaхъ,гӀарaхъ,<?> <?> а р a <?> <?>,,lexcauc,,,^г Ӏ а р a х ъ$,default
avar-143_cow-1,,avar,143_cow,гӀакa,гӀакa,<?> <?> а <?> a,,lexcauc,,,^г Ӏ а к a$,default
avar-144_bull-1,,avar,144_bull,бугъа,бугъа,<?> <?> <?> <?> а,,lexcauc,,,^б у г ъ а$,default
avar-145_ox-1,,avar,145_ox,оц,оц,<?> <?>,,lexcauc,,,^о ц$,default
avar-147_bullcalf-1,,avar,147_bullcalf,баси,баси,<?> а <?> <?>,,lexcauc,,,^б а с и$,default
avar-148_calf-1,,avar,148_calf,бечe,бечe,<?> е <?> e,,lexcauc,,,^б е ч e$,default
avar-149_earmark-1,,avar,149_earmark,гӀалaмат,гӀалaмат,<?> <?> а <?> a <?> а т,,lexcauc,,,^г Ӏ а л a м а т$,default
avar-150_sheepirrespofgender-1,,avar,150_sheepirrespofgender,гӀи,гӀи,<?> <?> <?>,,lexcauc,,,^г Ӏ и$,default
avar-151_ram-1,,avar,151_ram,куй,куй,<?> <?> <?>,,lexcauc,,,^к у й$,default
avar-152_ewe-1,,avar,152_ewe,эбeлаб гӀи,эбeлаб гӀи,<?> <?> e <?> а <?> + <?> <?> <?>,,lexcauc,,,^э б e л а б + г Ӏ и$,default
avar-153_lamb1year-1,,avar,153_lamb1year,хух,хух,<?> <?> <?>,,lexcauc,,,^х у х$,default
avar-155_youngram13years-1,,avar,155_youngram13years,хӀoржо,хӀoржо,<?> <?> o р <?> <?>,,lexcauc,,,^х Ӏ o р ж о$,default
avar-156_boar-1,,avar,156_boar,хъабaн,хъабaн,<?> <?> а <?> a <?>,,lexcauc,,,^х ъ а б a н$,default
avar-157_shegoat-1,,avar,157_shegoat,цӀцӀе,цӀцӀе,<?> <?> <?> <?> е,,lexcauc,,,^ц Ӏ ц Ӏ е$,default
avar-158_hegoat-1,,avar,158_hegoat,дегӀeн,дегӀeн,<?> е <?> <?> e <?>,,lexcauc,,,^д е г Ӏ e н$,default
avar-160_kid1year-1,,avar,160_kid1year,бурyтӀ,бурyтӀ,<?> <?> р y т <?>,,lexcauc,,,^б у р y т Ӏ$,default
avar-161_horseirrespofgender-1,,avar,161_horseirrespofgender,чу,чу,<?> <?>,,lexcauc,,,^ч у$,default
avar-162_stallion-1,,avar,162_stallion,айгъир,айгъир,а <?> <?> <?> <?> р,,lexcauc,,,^а й г ъ и р$,default
avar-163_mare-1,,avar,163_mare,гӀалa,гӀалa,<?> <?> а <?> a,,lexcauc,,,^г Ӏ а л a$,default
avar-164_foal-1,,avar,164_foal,тайи,тайи,т а <?> <?>,,lexcauc,,,^т а й и$,default
avar-165_donkey-1,,avar,165_donkey,хӀамa,хӀамa,<?> <?> а <?> a,,lexcauc,,,^х Ӏ а м a$,default
avar-166_foalofdonkey-1,,avar,166_foalofdonkey,кӀерт,кӀерт,<?> <?> е р т,,lexcauc,,,^к Ӏ е р т$,default
avar-167_mule-1,,avar,167_mule,гӀорцӀeн,гӀорцӀeн,<?> <?> <?> р <?> <?> e <?>,,lexcauc,,,^г Ӏ о р ц Ӏ e н$,default
avar-168_rooster-1,,avar,168_rooster,хӀелеко,хӀелеко,<?> <?> е <?> е <?> <?>,,lexcauc,,,^х Ӏ е л е к о$,default
avar-169_hen-1,,avar,169_hen,гӀaнкӀу,гӀaнкӀу,<?> <?> a <?> <?> <?> <?>,,lexcauc,,,^г Ӏ a н к Ӏ у$,default
avar-170_chick-1,,avar,170_chick,тӀинчӀ,тӀинчӀ,т <?> <?> <?> <?> <?>,,lexcauc,,,^т Ӏ и н ч Ӏ$,default
avar-171_goose-1,,avar,171_goose,хъаз,хъаз,<?> <?> а <?>,,lexcauc,,,^х ъ а з$,default
avar-172_duck-1,,avar,172_duck,ордeк,ордeк,<?> р <?> e <?>,,lexcauc,,,^о р д e к$,default
avar-173_nest-1,,avar,173_nest,бусeн,бусeн,<?> <?> <?> e <?>,,lexcauc,,,^б у с e н$,default
avar-174_bird-1,,avar,174_bird,хӀинчӀчӀ,хӀинчӀчӀ,<?> <?> <?> <?> <?> <?> <?> <?>,,lexcauc,,,^х Ӏ и н ч Ӏ ч Ӏ$,default
avar-175_heron-1,,avar,175_heron,хӀуцӀилхъаз,хӀуцӀилхъаз,<?> <?> <?> <?> <?> <?> <?> <?> <?> а <?>,,lexcauc,,,^х Ӏ у ц Ӏ и л х ъ а з$,default
avar-176_eagle-1,,avar,176_eagle,цӀцӀум,цӀцӀум,<?> <?> <?> <?> <?> <?>,,lexcauc,,,^ц Ӏ ц Ӏ у м$,default
avar-177_hawk-1,,avar,177_hawk,тайлaн,тайлaн,т а <?> <?> a <?>,,lexcauc,,,^т а й л a н$,default
avar-178_falcon-1,,avar,178_falcon,гвед,гвед,<?> <?> е <?>,,lexcauc,,,^г в е д$,default
avar-179_bat-1,,avar,179_bat,къохьoлъалкӀач,къохьoлъалкӀач,<?> <?> <?> <?> <?> o <?> <?> а <?> <?> <?> а <?>,,lexcauc,,,^к ъ о х ь o л ъ а л к Ӏ а ч$,default
avar-180_crow-1,,avar,180_crow,гъeдо,гъeдо,<?> <?> e <?> <?>,,lexcauc,,,^г ъ e д о$,default
avar-181_magpie-1,,avar,181_magpie,чaргъедо,чaргъедо,<?> a р <?> <?> е <?> <?>,,lexcauc,,,^ч a р г ъ е д о$,default
avar-182_jackdaw-1,,avar,182_jackdaw,гъaло,гъaло,<?> <?> a <?> <?>,,lexcauc,,,^г ъ a л о$,default
avar-182_jackdaw-2,,avar,182_jackdaw,чaвка,чaвка,<?> a <?> <?> а,,lexcauc,,,^ч a в к а$,default
avar-183_dove-1,,avar,183_dove,микки,микки,<?> <?> <?> <?>,,lexcauc,,,^м и кк и$,default
avar-184_sparrow-1,,avar,184_sparrow,къадaко,къадaко,<?> <?> а <?> a <?> <?>,,lexcauc,,,^к ъ а д a к о$,default
avar-185_owl-1,,avar,185_owl,бeццаруз,бeццаруз,<?> e <?> а р <?> <?>,,lexcauc,,,^б e цц а р у з$,default
avar-185_owl-2,,avar,185_owl,руз,руз,р <?> <?>,,lexcauc,,,^р у з$,default
avar-186_eagleowl-1,,avar,186_eagleowl,бeццаруз,бeццаруз,<?> e <?> а р <?> <?>,,lexcauc,,,^б e цц а р у з$,default
avar-186_eagleowl-2,,avar,186_eagleowl,руз,руз,р <?> <?>,,lexcauc,,,^р у з$,default
avar-187_cuckoo-1,,avar,187_cuckoo,гaгу,гaгу,<?> a <?> <?>,,lexcauc,,,^г a г у$,default
avar-188_snowcock-1,,avar,188_snowcock,гӀансa,гӀансa,<?> <?> а <?> <?> a,,lexcauc,,,^г Ӏ а н с a$,default
avar-189_partridge-1,,avar,189_partridge,мокъoкъ,мокъoкъ,<?> <?> <?> <?> o <?> <?>,,lexcauc,,,^м о к ъ o к ъ$,default
avar-190_swallow-1,,avar,190_swallow,милъиршо,милъиршо,<?> <?> <?> <?> <?> р <?> <?>,,lexcauc,,,^м и л ъ и р ш о$,default
avar-191_dog-1,,avar,191_dog,гьой,гьой,<?> <?> <?> <?>,,lexcauc,,,^г ь о й$,default
avar-192_femaledog-1,,avar,192_femaledog,гважи,гважи,<?> <?> а <?> <?>,,lexcauc,,,^г в а ж и$,default
